gsis_id,player_display_name,position_group,total_games,pass_share,completion_percentage,yards_per_completion,tds_per_completion,rush_share,yards_per_rush,tds_per_rush,reception_share,yards_per_reception,tds_per_reception,epa_per_snap,ra_epa_over_replacement
00-0019596,Tom Brady: 019596,QB,57,0.5666365430530897,0.5781724228997052,10.987552338750563,0.05048344860976075,0.04517490365422686,4.741473340037936,0.032059975421285525,0.007027666018082761,9.784916621681381,0.050020186076653234,-0.007461075397466665,0.14666878939212702
00-0020531,Drew Brees: 020531,QB,14,0.5396636068888084,0.5738511249783682,10.9692300746242,0.04905020322907281,0.049432646206378515,4.744047162183808,0.030721027914863776,0.0071846515768455,9.784916621681353,0.05002018607665326,-0.01422168927213428,0.22915875733569524
00-0022127,Jason Witten: 022127,TE,10,0.0744486705123605,0.6141767709887513,9.926874763578777,0.02963934276322066,0.023389933766462766,4.2115116438680795,0.021161293515600584,0.06877340818176757,10.45588624135499,0.06068999113674349,0.009912841211285713,0.09127276800280248
00-0022824,Andy Lee: 022824,SPEC,4,,,,,,,,,,,,0.041987347459265564
00-0022921,Larry Fitzgerald: 022921,WR,13,0.06242145137646069,0.6114240083334412,9.943464691845044,0.02965347872490809,0.020866392252855852,4.291932633547608,0.021687152237646175,0.08116066864167587,12.178748678684299,0.06011449663585985,0.014502523983473244,0.03601591382551028
00-0022924,Ben Roethlisberger: 022924,QB,33,0.5646600388733891,0.5735715707992417,10.839568324567017,0.04927513676740056,0.04462659353530783,4.745596621473148,0.029796310977920713,0.007056600759419266,9.784916621681361,0.050020186076653275,-0.0161844051246328,0.28111767779523034
00-0022942,Philip Rivers: 022942,QB,17,0.5447416680826093,0.5725889310083034,11.053929844001965,0.048379185120169664,0.04492634101387849,4.754511967582668,0.02950621646573881,0.007147984837252184,9.784916621681353,0.050020186076653254,-0.011917105320942895,0.1784240451482612
00-0023436,Alex Smith: 023436,QB,8,0.5414249229164333,0.5651890574934281,10.930326055601572,0.047166378369951044,0.05204538257256293,4.752022153372938,0.029457401575012605,0.0072984896581911145,9.784916621681354,0.050020186076653275,-0.01809540415298492,0.027847248021580284
00-0023459,Aaron Rodgers: 023459,QB,53,0.5433015400321662,0.5769213553625985,11.064379918788086,0.051471406108082304,0.04948461761027586,4.762395881016119,0.03224354447398259,0.007103090641467513,9.765586823244364,0.050019154957788685,-0.007079535773607961,0.3052818281953342
00-0023500,Frank Gore: 023500,RB,15,0.07559112033883707,0.6138069070503296,9.9116884615787,0.029665238891688386,0.21111781041299613,4.234846259153709,0.02253998144312559,0.03928275014919647,7.845642974312904,0.042765679285978436,-0.00584170576371326,0.05593668052486258
