,position_group,pass_share,completion_percentage,yards_per_completion,tds_per_completion,rush_share,yards_per_rush,tds_per_rush,epa_per_snap,reception_share,yards_per_reception,tds_per_reception,intercept
0,QB,0.8727463361388715,0.5262055910645452,0.22021063319231388,0.10753538205128425,-0.33854965808860654,0.3435897690097961,0.045234087882812926,0.3524870607237356,-0.006435840612676394,-0.12034546752117216,2.1980416674245484e-05,-3.519968457831708
1,RB,-0.2648099915835217,-8.229427992085992e-05,-0.00010643377314803853,2.4863754137623077e-06,0.15249001407978685,0.21396195483617067,0.02416214182656238,0.002105986784653091,0.20261664255264622,0.0924344269084164,-0.00016782193911200964,-1.6200511413637693
2,TE,-0.1754204553146636,-8.22531514124027e-06,4.630350464003575e-05,3.8156119859761207e-07,-0.02514558650291009,-5.3006111627274556e-05,6.391452956273101e-05,0.0019974449799772683,0.18779058194029882,0.07967637150486176,0.030843121644291042,-0.8239627771899004
3,WR,-0.430023055023206,0.00028955415911277474,0.0011950914507310628,4.623617928755286e-07,-0.07430046832249879,0.00858024037641496,-4.073183288406599e-05,0.009866167608548844,0.7348688220208314,0.031907744156479186,0.11742131628414484,-0.44939415615101697
